CNTY_NAME,MCD_NAME,CTV,ASM,SEN,CON,STR_WARDS,PERSONS18,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18,PRETOT16
Milwaukee,Greenfield,C,82,28,5,0021,1373.0,1054.0,53.0,125.0,122.0,14.0,1.0,0.0,4.0,782.0
Milwaukee,Hales Corners,V,83,28,1,0001,764.0,733.0,3.0,17.0,4.0,7.0,0.0,0.0,0.0,584.0
Milwaukee,Hales Corners,V,83,28,1,0002,661.0,612.0,2.0,24.0,21.0,2.0,0.0,0.0,0.0,512.0
Milwaukee,Hales Corners,V,83,28,1,0003,607.0,583.0,3.0,11.0,4.0,6.0,0.0,0.0,0.0,459.0
Milwaukee,Hales Corners,V,83,28,1,0004,688.0,647.0,6.0,24.0,7.0,3.0,0.0,0.0,1.0,520.0
Milwaukee,Hales Corners,V,83,28,1,0005,714.0,692.0,3.0,13.0,4.0,1.0,0.0,1.0,0.0,549.0
Milwaukee,Hales Corners,V,83,28,1,0006,627.0,595.0,1.0,18.0,4.0,5.0,2.0,2.0,0.0,449.0
Milwaukee,Hales Corners,V,83,28,1,0007,703.0,635.0,7.0,45.0,14.0,2.0,0.0,0.0,0.0,479.0
Milwaukee,Hales Corners,V,83,28,1,0008,656.0,621.0,1.0,21.0,5.0,8.0,0.0,0.0,0.0,402.0
Milwaukee,Hales Corners,V,83,28,1,0009,660.0,566.0,25.0,28.0,36.0,2.0,1.0,2.0,0.0,464.0
Milwaukee,Milwaukee,C,12,4,4,0001,2604.0,860.0,1158.0,426.0,124.0,12.0,1.0,5.0,18.0,1201.0
Milwaukee,Milwaukee,C,12,4,4,0002,862.0,116.0,624.0,100.0,7.0,1.0,0.0,1.0,13.0,405.0
Milwaukee,Milwaukee,C,12,4,4,0003,1717.0,720.0,876.0,54.0,53.0,7.0,0.0,0.0,7.0,971.0
Milwaukee,Milwaukee,C,12,4,4,0004,2497.0,996.0,1317.0,60.0,86.0,7.0,3.0,4.0,24.0,1573.0
Milwaukee,Milwaukee,C,12,4,4,0005,1366.0,420.0,870.0,37.0,21.0,9.0,0.0,4.0,5.0,765.0
Milwaukee,Milwaukee,C,12,4,4,0006,2593.0,1120.0,1194.0,62.0,172.0,20.0,6.0,3.0,16.0,1720.0
Milwaukee,Milwaukee,C,12,4,4,0007,1042.0,512.0,413.0,72.0,21.0,18.0,0.0,2.0,4.0,601.0
Milwaukee,Milwaukee,C,12,4,4,0008,1865.0,710.0,988.0,84.0,50.0,11.0,4.0,0.0,18.0,1417.0
Milwaukee,Milwaukee,C,12,4,4,0009,1052.0,296.0,644.0,34.0,57.0,11.0,2.0,3.0,5.0,694.0
Milwaukee,Milwaukee,C,12,4,4,0010,1798.0,889.0,690.0,61.0,139.0,11.0,0.0,3.0,5.0,1165.0
Milwaukee,Milwaukee,C,11,4,4,0011,1637.0,604.0,810.0,58.0,152.0,6.0,0.0,0.0,7.0,1020.0
Milwaukee,Milwaukee,C,11,4,4,0012,1441.0,372.0,808.0,29.0,213.0,5.0,0.0,0.0,14.0,884.0
Milwaukee,Milwaukee,C,11,4,4,0013,773.0,286.0,402.0,15.0,58.0,3.0,1.0,1.0,7.0,515.0
Milwaukee,Milwaukee,C,11,4,4,0014,1651.0,358.0,1214.0,44.0,17.0,5.0,0.0,0.0,13.0,988.0
Milwaukee,Milwaukee,C,11,4,4,0015,988.0,619.0,289.0,26.0,37.0,12.0,1.0,1.0,3.0,766.0
Milwaukee,Milwaukee,C,11,4,4,0016,2313.0,582.0,1526.0,69.0,95.0,15.0,0.0,5.0,21.0,1363.0
Milwaukee,Milwaukee,C,11,4,4,0017,909.0,365.0,441.0,37.0,45.0,7.0,0.0,2.0,12.0,588.0
Milwaukee,Milwaukee,C,11,4,4,0018,1388.0,405.0,900.0,41.0,31.0,4.0,0.0,0.0,7.0,911.0
Milwaukee,Milwaukee,C,11,4,4,0019,1119.0,258.0,803.0,22.0,15.0,7.0,2.0,0.0,12.0,698.0
Milwaukee,Milwaukee,C,11,4,4,0020,1501.0,329.0,1087.0,52.0,16.0,8.0,0.0,2.0,7.0,903.0
Milwaukee,Milwaukee,C,11,4,4,0021,1333.0,180.0,1102.0,28.0,5.0,5.0,0.0,0.0,13.0,824.0
Milwaukee,Milwaukee,C,11,4,4,0022,1319.0,283.0,948.0,42.0,19.0,14.0,0.0,2.0,11.0,795.0
Milwaukee,Milwaukee,C,11,4,4,0023,734.0,123.0,502.0,23.0,69.0,6.0,2.0,0.0,9.0,334.0
Milwaukee,Milwaukee,C,11,4,4,0024,1008.0,52.0,678.0,5.0,268.0,1.0,0.0,1.0,3.0,416.0
Milwaukee,Milwaukee,C,11,4,4,0025,1305.0,238.0,889.0,55.0,104.0,8.0,0.0,3.0,8.0,746.0
Milwaukee,Milwaukee,C,11,4,4,0026,1122.0,266.0,712.0,29.0,107.0,3.0,0.0,0.0,5.0,668.0
Milwaukee,Milwaukee,C,11,4,4,0027,1176.0,193.0,675.0,37.0,261.0,3.0,0.0,0.0,7.0,656.0
Milwaukee,Milwaukee,C,11,4,4,0028,613.0,63.0,276.0,22.0,243.0,4.0,0.0,0.0,5.0,221.0
Milwaukee,Milwaukee,C,12,4,4,0029,756.0,162.0,547.0,12.0,32.0,0.0,0.0,0.0,3.0,365.0
Milwaukee,Milwaukee,C,12,4,4,0030,1146.0,297.0,689.0,37.0,112.0,6.0,0.0,0.0,5.0,725.0
Milwaukee,Milwaukee,C,12,4,4,0031,1244.0,255.0,873.0,42.0,55.0,6.0,1.0,1.0,11.0,642.0
Milwaukee,Milwaukee,C,12,4,4,0032,2555.0,741.0,1577.0,87.0,118.0,7.0,4.0,1.0,20.0,1480.0
Milwaukee,Milwaukee,C,22,8,4,0033,2795.0,1875.0,734.0,76.0,72.0,24.0,2.0,0.0,12.0,1989.0
Milwaukee,Milwaukee,C,22,8,4,0034,2066.0,910.0,957.0,89.0,63.0,18.0,4.0,6.0,19.0,1102.0
Milwaukee,Milwaukee,C,12,4,4,0035,1425.0,809.0,457.0,81.0,55.0,14.0,1.0,1.0,7.0,856.0
Milwaukee,Milwaukee,C,12,4,4,0036,1165.0,297.0,749.0,18.0,89.0,2.0,0.0,3.0,7.0,781.0
